F3,FZ,F4,FCZ,C3,Cz,C4,P3,Pz,P4,PO7,POz,PO8,O1,Oz,O2,LABEL,
187500,187500,187500,117945.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20186,
187500,187500,187500,119704.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20187,
187500,187500,187500,121103.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20188,
187500,187500,187500,122257.1,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20189,
187500,187500,187500,123049,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20190,
187500,187500,187500,123227.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20191,
187500,187500,187500,123165,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20192,
187500,187500,187500,122854.9,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20193,
187500,187500,187500,121711.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20194,
187500,187500,187500,120532.2,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20195,
187500,187500,187500,119723.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20196,
187500,187500,187500,118076.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20197,
187500,187500,187500,116710.5,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20198,
187500,187500,187500,115634.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20199,
187500,187500,187500,114851,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20200,
187500,187500,187500,114673,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20201,
187500,187500,187500,115081,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20202,
187500,187500,187500,115649.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20203,
187500,187500,187500,115828.1,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20204,
187500,187500,187500,117043.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20205,
187500,187500,187500,118108.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20206,
187500,187500,187500,119820.3,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20207,
187500,187500,187500,121240.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20208,
187500,187500,187500,122392.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20209,
187500,187500,187500,123232.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20210,
187500,187500,187500,123446.2,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20211,
187500,187500,187500,123391.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20212,
187500,187500,187500,123104.5,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20213,
187500,187500,187500,121963.5,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20214,
187500,187500,187500,120730.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20215,
187500,187500,187500,119917.9,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20216,
187500,187500,187500,118324.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20217,
187500,187500,187500,116916,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20218,
187500,187500,187500,115833.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20219,
187500,187500,187500,115005,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20220,
187500,187500,187500,114795.9,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20221,
187500,187500,187500,115164.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20222,
187500,187500,187500,115767.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20223,
187500,187500,187500,115925.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20224,
187500,187500,187500,117078.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20225,
187500,187500,187500,118132,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20226,
187500,187500,187500,119807.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20227,
187500,187500,187500,121281.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20228,
187500,187500,187500,122409.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20229,
187500,187500,187500,123267.1,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20230,
187500,187500,187500,123513,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20231,
160537.3,159987.6,160690.8,98732.23,160338.2,159789.2,160400.3,159932.9,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20232,
-109481.8,-110283.7,-109391.7,-5527.05,-109901.9,-110866.5,-109799.7,-110693.6,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20233,
-187500,-187500,-187500,-37143.28,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20234,
-187500,-187500,-187500,-39282.41,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20235,
-187500,-187500,-187500,-40382.11,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20236,
-187500,-187500,-187500,-42092.63,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20237,
-187500,-187500,-187500,-43672.45,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20238,
-187500,-187500,-187500,-44840.06,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20239,
-187500,-187500,-187500,-45774.23,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20240,
-187500,-187500,-187500,-46058.61,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20241,
-187500,-187500,-187500,-45765.29,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20242,
-187500,-187500,-187500,-45203.09,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20243,
-187500,-187500,-187500,-45093.93,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20244,
-187500,-187500,-187500,-44018.79,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20245,
-187500,-187500,-187500,-42981.98,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20246,
-187500,-187500,-187500,-41389.22,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20247,
-187500,-187500,-187500,-39893.93,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20248,
-187500,-187500,-187500,-38771.96,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20249,
