F3,FZ,F4,FCZ,C3,Cz,C4,P3,Pz,P4,PO7,POz,PO8,O1,Oz,O2,LABEL,
-187500,-187500,-187500,-154.5623,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21695,
-187500,-187500,-187500,703.8788,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21696,
-187500,-187500,-187500,1379.952,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21697,
-187500,-187500,-187500,1512.565,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21698,
-187500,-187500,-187500,1268.663,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21699,
-187500,-187500,-187500,1063.027,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21700,
-187500,-187500,-187500,173.9636,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21701,
-187500,-187500,-187500,-924.3117,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21702,
-187500,-187500,-187500,-1601.547,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21703,
-187500,-187500,-187500,-2757.267,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21704,
-187500,-187500,-187500,-4018.374,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21705,
-187500,-187500,-187500,-4852.407,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21706,
-187500,-187500,-187500,-5532.75,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21707,
-187500,-187500,-187500,-5685.211,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21708,
-187500,-187500,-187500,-5360.351,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21709,
-187500,-187500,-187500,-4690.804,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21710,
-187500,-187500,-187500,-4454.993,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21711,
-187500,-187500,-187500,-3736.921,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21712,
-187500,-187500,-187500,-2766.274,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21713,
-187500,-187500,-187500,-1520.343,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21714,
-187500,-187500,-187500,-254.1617,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21715,
-187500,-187500,-187500,596.6351,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21716,
-187500,-187500,-187500,1312.673,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21717,
-187500,-187500,-187500,1462.318,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21718,
-187500,-187500,-187500,1237.214,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21719,
-187500,-187500,-187500,1041.1,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21720,
-187500,-187500,-187500,204.6749,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21721,
-187500,-187500,-187500,-905.8491,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21722,
-187500,-187500,-187500,-1603.335,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21723,
-187500,-187500,-187500,-2720.14,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21724,
-187500,-187500,-187500,-4008.83,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21725,
-187500,-187500,-187500,-4826.01,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21726,
-187500,-187500,-187500,-5529.173,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21727,
-187500,-187500,-187500,-5703.227,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21728,
-187500,-187500,-187500,-5419.493,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21729,
-187500,-187500,-187500,-4755.937,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21730,
-187500,-187500,-187500,-4487.18,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21731,
-187500,-187500,-187500,-3827.088,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21732,
-187500,-187500,-187500,-2840.527,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21733,
-187500,-187500,-187500,-1640.506,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21734,
-187500,-187500,-187500,6030.277,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21735,
446.8337,2294.876,-415.4295,32816.23,1122.482,4387.379,1257.196,4390.419,0,0,0,0,0,0,0,0,0,21736,
187500,187500,187500,41673.24,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21737,
187500,187500,187500,42756.61,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21738,
187500,187500,187500,42712.08,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21739,
